images,label
salmo.1558.jpg,Salmonella
cocci.1866.jpg,Coccidiosis
cocci.171.jpg,Coccidiosis
salmo.1484.jpg,Salmonella
ncd.100.jpg,New Castle Disease
salmo.659.jpg,Salmonella
salmo.1386.jpg,Salmonella
healthy.1748.jpg,Healthy
healthy.1156.jpg,Healthy
healthy.1215.jpg,Healthy
cocci.686.jpg,Coccidiosis
healthy.281.jpg,Healthy
cocci.1966.jpg,Coccidiosis
healthy.1892.jpg,Healthy
salmo.2172.jpg,Salmonella
healthy.1286.jpg,Healthy
salmo.1291.jpg,Salmonella
salmo.1012.jpg,Salmonella
salmo.1532.jpg,Salmonella
pcrsalmo.129.jpg,Salmonella
cocci.1148.jpg,Coccidiosis
ncd.79.jpg,New Castle Disease
cocci.1102.jpg,Coccidiosis
salmo.1333.jpg,Salmonella
cocci.520.jpg,Coccidiosis
salmo.1407.jpg,Salmonella
cocci.200.jpg,Coccidiosis
pcrncd.0.jpg,New Castle Disease
cocci.1141.jpg,Coccidiosis
salmo.1663.jpg,Salmonella
salmo.634.jpg,Salmonella
healthy.1845.jpg,Healthy
cocci.1107.jpg,Coccidiosis
salmo.935.jpg,Salmonella
pcrsalmo.173.jpg,Salmonella
cocci.145.jpg,Coccidiosis
pcrncd.55.jpg,New Castle Disease
salmo.478.jpg,Salmonella
cocci.1923.jpg,Coccidiosis
pcrcocci.346.jpg,Coccidiosis
cocci.982.jpg,Coccidiosis
pcrncd.72.jpg,New Castle Disease
pcrcocci.179.jpg,Coccidiosis
ncd.351.jpg,New Castle Disease
salmo.1702.jpg,Salmonella
ncd.196.jpg,New Castle Disease
pcrhealthy.17.jpg,Healthy
pcrsalmo.285.jpg,Salmonella
cocci.1339.jpg,Coccidiosis
healthy.708.jpg,Healthy
salmo.349.jpg,Salmonella
healthy.515.jpg,Healthy
salmo.604.jpg,Salmonella
cocci.1642.jpg,Coccidiosis
cocci.1876.jpg,Coccidiosis
cocci.1170.jpg,Coccidiosis
healthy.1066.jpg,Healthy
salmo.610.jpg,Salmonella
cocci.1192.jpg,Coccidiosis
healthy.1834.jpg,Healthy
cocci.350.jpg,Coccidiosis
salmo.2241.jpg,Salmonella
salmo.1235.jpg,Salmonella
salmo.1126.jpg,Salmonella
salmo.1199.jpg,Salmonella
healthy.782.jpg,Healthy
salmo.667.jpg,Salmonella
ncd.305.jpg,New Castle Disease
pcrncd.85.jpg,New Castle Disease
healthy.505.jpg,Healthy
healthy.916.jpg,Healthy
salmo.1445.jpg,Salmonella
pcrcocci.173.jpg,Coccidiosis
healthy.225.jpg,Healthy
pcrncd.27.jpg,New Castle Disease
healthy.447.jpg,Healthy
cocci.972.jpg,Coccidiosis
pcrsalmo.279.jpg,Salmonella
salmo.413.jpg,Salmonella
pcrncd.122.jpg,New Castle Disease
salmo.149.jpg,Salmonella
cocci.1324.jpg,Coccidiosis
cocci.682.jpg,Coccidiosis
pcrcocci.355.jpg,Coccidiosis
healthy.1874.jpg,Healthy
healthy.983.jpg,Healthy
cocci.1545.jpg,Coccidiosis
healthy.1637.jpg,Healthy
cocci.1146.jpg,Coccidiosis
salmo.1570.jpg,Salmonella
healthy.1387.jpg,Healthy
ncd.62.jpg,New Castle Disease
pcrcocci.41.jpg,Coccidiosis
cocci.632.jpg,Coccidiosis
salmo.201.jpg,Salmonella
pcrhealthy.266.jpg,Healthy
pcrcocci.118.jpg,Coccidiosis
cocci.1306.jpg,Coccidiosis
pcrsalmo.39.jpg,Salmonella
salmo.1748.jpg,Salmonella
pcrcocci.215.jpg,Coccidiosis
salmo.2202.jpg,Salmonella
salmo.397.jpg,Salmonella
pcrcocci.303.jpg,Coccidiosis
salmo.715.jpg,Salmonella
healthy.160.jpg,Healthy
salmo.978.jpg,Salmonella
healthy.49.jpg,Healthy
healthy.346.jpg,Healthy
cocci.875.jpg,Coccidiosis
pcrsalmo.37.jpg,Salmonella
healthy.137.jpg,Healthy
salmo.41.jpg,Salmonella
salmo.432.jpg,Salmonella
salmo.466.jpg,Salmonella
cocci.334.jpg,Coccidiosis
ncd.213.jpg,New Castle Disease
pcrsalmo.61.jpg,Salmonella
